# Table of Angular offsets between Transit Crossings of the Galactic Plane
# Glen Langston -- NSF -- glangsto@nsf.gov
# Dec    RA1     RA2   Delta RA
# (d)    (d)     (d)     (d)
 -62.0  176.90 -150.90  327.80
 -61.0  170.88 -144.89  315.77
 -60.0  165.22 -139.26  304.48
 -59.0  161.68 -135.72  297.40
 -58.0  158.31 -132.37  290.69
 -57.0  155.14 -129.21  284.35
 -56.0  152.14 -126.22  278.37
 -55.0  149.32 -124.80  274.12
 -54.0  147.97 -122.07  270.04
 -53.0  145.39 -119.51  264.90
 -52.0  144.16 -118.28  262.44
 -51.0  141.81 -115.93  257.74
 -50.0  140.68 -114.81  255.50
 -49.0  138.53 -113.72  252.25
 -48.0  137.50 -111.64  249.13
 -47.0  136.49 -110.64  247.13
 -46.0  134.57 -108.72  243.29
 -45.0  133.65 -107.80  241.45
 -44.0  132.75 -106.91  239.65
 -43.0  131.02 -106.03  237.05
 -42.0  130.18 -104.35  234.54
 -41.0  129.37 -103.54  232.92
 -40.0  128.58 -102.75  231.33
 -39.0  127.05 -101.98  229.03
 -38.0  126.31 -100.49  226.80
 -37.0  125.59  -99.77  225.36
 -36.0  124.88  -99.06  223.94
 -35.0  124.19  -98.37  222.56
 -34.0  122.84  -97.03  219.88
 -33.0  122.19  -96.38  218.57
 -32.0  121.55  -95.74  217.29
 -31.0  120.92  -95.12  216.04
 -30.0  120.30  -94.50  214.80
 -29.0  119.10  -93.61  212.71
 -28.0  118.51  -92.71  211.23
 -27.0  117.93  -92.14  210.07
 -26.0  117.36  -91.57  208.93
 -25.0  116.80  -91.01  207.81
 -24.0  116.25  -90.46  206.71
 -23.0  115.17  -89.91  205.08
 -22.0  114.64  -88.84  203.48
 -21.0  114.11  -88.32  202.43
 -20.0  113.59  -87.80  201.39
 -19.0  113.08  -87.29  200.37
 -18.0  112.57  -86.78  199.35
 -17.0  112.07  -86.28  198.35
 -16.0  111.07  -85.78  196.86
 -15.0  110.59  -84.80  195.39
 -14.0  110.10  -84.32  194.42
 -13.0  109.62  -83.83  193.45
 -12.0  109.14  -83.36  192.50
 -11.0  108.66  -82.88  191.55
 -10.0  108.19  -82.41  190.60
  -9.0  107.72  -81.94  189.66
  -8.0  106.79  -81.47  188.26
  -7.0  106.33  -80.54  186.87
  -6.0  105.87  -80.08  185.95
  -5.0  105.40  -79.62  185.03
  -4.0  104.95  -79.16  184.11
  -3.0  104.49  -78.71  183.20
  -2.0  104.03  -78.25  182.28
  -1.0  103.57  -77.79  181.37
   0.0  102.66  -77.34  180.00
   1.0  102.21  -76.43  178.63
   2.0  101.75  -75.97  177.72
   3.0  101.29  -75.51  176.80
   4.0  100.84  -75.05  175.89
   5.0  100.38  -74.60  174.97
   6.0   99.92  -74.13  174.05
   7.0   99.46  -73.67  173.13
   8.0   98.53  -73.21  171.74
   9.0   98.06  -72.28  170.34
  10.0   97.59  -71.81  169.40
  11.0   97.12  -71.34  168.45
  12.0   96.64  -70.86  167.50
  13.0   96.17  -70.38  166.55
  14.0   95.68  -69.90  165.58
  15.0   95.20  -69.41  164.61
  16.0   94.22  -68.93  163.14
  17.0   93.72  -67.93  161.65
  18.0   93.22  -67.43  160.65
  19.0   92.71  -66.92  159.63
  20.0   92.20  -66.41  158.61
  21.0   91.68  -65.89  157.57
  22.0   91.16  -65.36  156.52
  23.0   90.09  -64.83  154.92
  24.0   89.54  -63.75  153.29
  25.0   88.99  -63.20  152.19
  26.0   88.43  -62.64  151.07
  27.0   87.86  -62.07  149.93
  28.0   87.29  -61.49  148.77
  29.0   86.10  -60.90  147.01
  30.0   85.50  -59.70  145.20
  31.0   84.88  -59.08  143.96
  32.0   84.26  -58.45  142.71
  33.0   83.62  -57.81  141.43
  34.0   82.97  -57.16  140.12
  35.0   81.63  -55.81  137.44
  36.0   80.94  -55.12  136.06
  37.0   80.23  -54.41  134.64
  38.0   79.51  -53.69  133.20
  39.0   78.02  -52.95  130.97
  40.0   77.25  -51.42  128.67
  41.0   76.46  -50.63  127.08
  42.0   75.65  -49.82  125.46
  43.0   73.97  -48.98  122.95
  44.0   73.09  -47.25  120.35
  45.0   72.20  -46.35  118.55
  46.0   71.28  -45.43  116.71
  47.0   69.36  -43.51  112.87
  48.0   68.36  -42.50  110.87
  49.0   66.28  -41.47  107.75
  50.0   65.19  -39.32  104.50
  51.0   64.07  -38.19  102.26
  52.0   61.72  -35.84   97.56
  53.0   60.49  -34.61   95.10
  54.0   57.93  -32.03   89.96
  55.0   55.20  -30.68   85.88
  56.0   53.78  -27.86   81.63
  57.0   50.79  -24.86   75.65
  58.0   47.63  -21.69   69.31
  59.0   44.28  -18.32   62.60
  60.0   40.74  -14.78   55.52
  61.0   35.11   -9.12   44.23
